"Delivery Date","Hour Ending","Repeated Hour Flag","REGDN","REGUP","RRS","NSPIN","total_lmp"
2012-01-01 01:00:00,"01:00","N",7.11,5,2.49,1,13.305
2012-01-01 02:00:00,"02:00","N",7,2.5,2.49,1,8.37
2012-01-01 03:00:00,"03:00","N",5.89,2,2,1,4.7025
2012-01-01 04:00:00,"04:00","N",5,2.5,2.49,1,14.89
2012-01-01 05:00:00,"05:00","N",7.11,3,2.49,1,15.4925
2012-01-01 06:00:00,"06:00","N",13.11,6.5,4,1,16.5425
2012-01-01 07:00:00,"07:00","N",5,7.92,5.5,1,17.3225
2012-01-01 08:00:00,"08:00","N",7,5.5,5.26,2.01,18.83375
2012-01-01 09:00:00,"09:00","N",6,6.09,5.68,2,19.6725
2012-01-01 10:00:00,"10:00","N",4.98,5.84,5.68,2,21.905
2012-01-01 11:00:00,"11:00","N",4.98,4.49,4.16,1.9,22.3025
2012-01-01 12:00:00,"12:00","N",4.98,4.41,4,1,23.2175
2012-01-01 13:00:00,"13:00","N",4.24,3.75,4,2,23.25
2012-01-01 14:00:00,"14:00","N",4.98,4.4,4.4,2,22.81
2012-01-01 15:00:00,"15:00","N",4.98,3.5,4.25,2,21.8775
2012-01-01 16:00:00,"16:00","N",4.98,2,2.49,2,21.0225
2012-01-01 17:00:00,"17:00","N",4.98,2.8,2.8,2,20.36
2012-01-01 18:00:00,"18:00","N",6.08,7.66,6.25,2.01,23.35875
2012-01-01 19:00:00,"19:00","N",7.11,11.95,11.95,2.01,25.69
2012-01-01 20:00:00,"20:00","N",5.29,6.25,6.25,2.01,25.6925
2012-01-01 21:00:00,"21:00","N",4.98,6.11,5.25,2.01,24.8475
2012-01-01 22:00:00,"22:00","N",6.5,5.21,4.81,2.01,24.9625
2012-01-01 23:00:00,"23:00","N",7,6.39,5,1.88,24.205
2012-01-02 00:00:00,"24:00","N",6.04,4.21,4,1,22.805
2012-01-02 01:00:00,"01:00","N",7,4.41,2.5,1,21.1475
2012-01-02 02:00:00,"02:00","N",7,2.5,2,1,21.39
2012-01-02 03:00:00,"03:00","N",6,1.59,2,1,21.625
2012-01-02 04:00:00,"04:00","N",5,2,2,0.5,22.4
2012-01-02 05:00:00,"05:00","N",7.09,3,2.49,0.5,22.9
2012-01-02 06:00:00,"06:00","N",13.56,5.46,2.74,1.21,23.7575
2012-01-02 07:00:00,"07:00","N",5,7.92,5,1.81,24.9075
2012-01-02 08:00:00,"08:00","N",7,6.66,6.66,2,25.4525
2012-01-02 09:00:00,"09:00","N",6.08,7.1,7.1,0.5,25.2
2012-01-02 10:00:00,"10:00","N",4.6,6.9,6.9,1.8,25.89
2012-01-02 11:00:00,"11:00","N",4.98,4.09,4,1.87,25.8475
2012-01-02 12:00:00,"12:00","N",4.98,3.75,3.65,1.67,25.2125
2012-01-02 13:00:00,"13:00","N",4.98,2.78,2.78,2,24.84
2012-01-02 14:00:00,"14:00","N",4.98,2.16,2.24,2,23.9075
2012-01-02 15:00:00,"15:00","N",5,1.22,2.24,1.88,22.45625
2012-01-02 16:00:00,"16:00","N",4.98,1,2.24,1.88,21.36375
2012-01-02 17:00:00,"17:00","N",4.98,1.91,2.49,1.91,21.7925
2012-01-02 18:00:00,"18:00","N",6.5,8.56,7.26,2.01,25.60625
2012-01-02 19:00:00,"19:00","N",7,14.64,14.16,2.01,31.1575
2012-01-02 20:00:00,"20:00","N",5.1,10.59,10.59,2.01,29.64
2012-01-02 21:00:00,"21:00","N",4.98,6.92,6.92,2.01,34.2375
2012-01-02 22:00:00,"22:00","N",4.98,5.25,4.91,2.01,26.525
2012-01-02 23:00:00,"23:00","N",6.67,6.5,4.46,2,25.075
2012-01-03 00:00:00,"24:00","N",4.98,3.78,3.29,1,23.94875
2012-01-03 01:00:00,"01:00","N",7,4.67,2.15,0.5,22.27
2012-01-03 02:00:00,"02:00","N",7.11,3,2.49,0.5,21.01
2012-01-03 03:00:00,"03:00","N",7,1.61,2,0.5,21.5975
2012-01-03 04:00:00,"04:00","N",5,2.12,2.12,0.5,22.24375
2012-01-03 05:00:00,"05:00","N",7,3.57,2,0.5,23.16625
2012-01-03 06:00:00,"06:00","N",8.56,6.06,5.76,2.25,24.8675
2012-01-03 07:00:00,"07:00","N",4.98,17.07,16.15,2.27,65.21875
2012-01-03 08:00:00,"08:00","N",7,21.53,21.53,2.27,30.34
2012-01-03 09:00:00,"09:00","N",6,11.24,11.24,2.27,26.465
2012-01-03 10:00:00,"10:00","N",4.6,7.88,7.88,2.27,24.6575
2012-01-03 11:00:00,"11:00","N",4.98,6.53,6.53,2.27,23.9775
2012-01-03 12:00:00,"12:00","N",4.98,5.02,4.74,1.88,23.05125
2012-01-03 13:00:00,"13:00","N",4.98,4.14,4.14,2.25,22.1375
2012-01-03 14:00:00,"14:00","N",4.98,4,4,2.11,20.9375
2012-01-03 15:00:00,"15:00","N",4.98,2.25,4,2.11,19.5425
2012-01-03 16:00:00,"16:00","N",4.98,2.08,4,2.11,19.51
2012-01-03 17:00:00,"17:00","N",4.98,2.45,4,2.11,19.925
2012-01-03 18:00:00,"18:00","N",6.5,10.22,8.84,2.27,23.2
2012-01-03 19:00:00,"19:00","N",7.11,10.86,11.7,2.27,28.09625
2012-01-03 20:00:00,"20:00","N",5.92,6.52,7.69,2.27,28.5575
2012-01-03 21:00:00,"21:00","N",4.98,6.55,7.04,2.27,27.15
2012-01-03 22:00:00,"22:00","N",5,5.71,5.71,2.27,23.9775
2012-01-03 23:00:00,"23:00","N",6.5,6.71,4.71,2,21.245
2012-01-04 00:00:00,"24:00","N",4.98,3.52,3.42,2,20.05375
2012-01-04 01:00:00,"01:00","N",5.12,3,1.98,1,19.715
2012-01-04 02:00:00,"02:00","N",5.95,2.49,1.56,1,19.0925
2012-01-04 03:00:00,"03:00","N",5.03,1.5,1.5,1,19.985
2012-01-04 04:00:00,"04:00","N",4.98,1.78,1.78,1,22.1625
2012-01-04 05:00:00,"05:00","N",6,3.14,2,0.5,24.1225
2012-01-04 06:00:00,"06:00","N",7.11,6.21,3.93,2,29.9
2012-01-04 07:00:00,"07:00","N",4,25.66,23.14,2.47,134.19375
2012-01-04 08:00:00,"08:00","N",6,19.85,19.85,2.47,26.7725
2012-01-04 09:00:00,"09:00","N",4,8.29,8.29,2.47,24.795
2012-01-04 10:00:00,"10:00","N",3.94,6.36,6.36,2.47,24.88
2012-01-04 11:00:00,"11:00","N",4.6,5.53,4.74,1.81,22.97
2012-01-04 12:00:00,"12:00","N",4.75,5,3.98,1,21.62375
2012-01-04 13:00:00,"13:00","N",4,4,4,1.9,20.07625
2012-01-04 14:00:00,"14:00","N",4.75,4.5,3.27,1.92,21.02
2012-01-04 15:00:00,"15:00","N",4.98,2.25,2.63,2,20.3175
2012-01-04 16:00:00,"16:00","N",4.75,2.25,2.51,2,19.98
2012-01-04 17:00:00,"17:00","N",4.98,3.32,3.76,2.25,20.37
2012-01-04 18:00:00,"18:00","N",6,10.86,8.87,2.47,32.88
2012-01-04 19:00:00,"19:00","N",4.98,11.76,10.76,2.47,27.02875
2012-01-04 20:00:00,"20:00","N",4.98,7.08,7.08,2.47,28.1075
